value,ci,ds_complete,technique,dsn
0.0391234711767008,"(0.0, 0.12201613738796094)",ds2_TVAE_QI1_ep100_bs50.csv,TVAE,ds2
0.0502712815785594,"(0.0, 0.11340468850505783)",ds59_CopulaGAN_QI0_ep200_bs50.csv,Copula GAN,ds59
0.0,"(0.0, 0.05344526941421057)",ds24_CTGAN_QI2_ep100_bs50.csv,CTGAN,ds24
0.0009690170589643,"(0.0, 0.004698998232029411)",ds55_CopulaGAN_QI1_ep200_bs100.csv,Copula GAN,ds55
0.0052921151033988,"(0.0, 0.04142546215213398)",ds16_TVAE_QI2_ep100_bs50.csv,TVAE,ds16
0.0282833985647342,"(0.0, 0.058647458826753415)",ds4_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds4
0.0,"(0.0, 0.069343951009138)",ds59_CopulaGAN_QI1_ep200_bs50.csv,Copula GAN,ds59
0.0005084088977494,"(0.0, 0.007974115211228715)",ds50_TVAE_QI0_ep200_bs100.csv,TVAE,ds50
0.0,"(0.0, 0.030904419243581956)",ds2_TVAE_QI2_ep100_bs100.csv,TVAE,ds2
0.0,"(0.0, 0.0032690502061361484)",ds8_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds8
0.0,"(0.0, 0.015761936588795013)",ds33_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds33
0.0,"(0.0, 0.0032690502061361484)",ds8_CTGAN_QI0_ep100_bs50.csv,CTGAN,ds8
0.0427166767834755,"(0.0, 0.09999229511031378)",ds5_TVAE_QI1_ep100_bs100.csv,TVAE,ds5
0.0,"(0.0, 0.006399620314949066)",ds37_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds37
0.0,"(0.0, 0.027514151811584828)",ds14_CTGAN_QI0_ep100_bs50.csv,CTGAN,ds14
0.0,"(0.0, 0.0)",ds10_CTGAN_QI2_ep100_bs100.csv,CTGAN,ds10
0.0018631335312965,"(0.0, 0.009324466121323455)",ds51_TVAE_QI1_ep200_bs50.csv,TVAE,ds51
0.0,"(0.0, 0.0045429459929252755)",ds56_TVAE_QI2_ep200_bs100.csv,TVAE,ds56
0.0,"(0.0, 0.009158612992990683)",ds38_CTGAN_QI2_ep100_bs50.csv,CTGAN,ds38
0.0,"(0.0, 0.021507539537620624)",ds10_CTGAN_QI0_ep100_bs100.csv,CTGAN,ds10
0.0117669006332978,"(0.0, 0.06680051705344649)",ds24_TVAE_QI1_ep200_bs100.csv,TVAE,ds24
0.0070194962793302,"(0.0, 0.03718904239100457)",ds10_CopulaGAN_QI2_ep100_bs50.csv,Copula GAN,ds10
0.0,"(0.0, 0.055685920519105564)",ds59_TVAE_QI1_ep200_bs50.csv,TVAE,ds59
0.0013819021391973,"(0.0, 0.00849021993366095)",ds68_CTGAN_QI1_ep200_bs50.csv,CTGAN,ds68
0.0,"(0.0, 0.006150936954806939)",ds51_CopulaGAN_QI1_ep200_bs50.csv,Copula GAN,ds51
0.0,"(0.0, 0.014436770849648409)",ds5_TVAE_QI2_ep200_bs100.csv,TVAE,ds5
